Pays,"GDP per capita, PPP (constant 2000 international $) ",GDP per capita growth (annual %) ,Gross fixed capital formation (% of GDP) ,Agriculture value added per worker (constant 2000 US$) ,"Agriculture, value added (% of GDP) ",Exports of goods and services (% of GDP) ,"Foreign direct investment, net inflows (% of GDP) ",Improved water source (% of population with access) ,"Industry, value added (% of GDP) ","Mobile phone subscribers (per 1,000 people) ","Mortality rate, infant (per 1,000 live births) ","Personal computers (per 1,000 people) ",Population ages 0-14 (% of total) ,Population ages 65 and above (% of total) ,Rural population (% of total population) ,"Services, etc., value added (% of GDP) ",Population growth (annual %) ,"Internet users (per 1,000 people) ",Continent
Albania,4506.060302077411,5.116763248201443,24.9875055948893,1356.237181497037,23.43206977844237,21.33689562479657,3.6419405102661933,96,21.2619711558024,407.0608596361485,16.0,16.7205,27.600166783577702,8.109802800420324,55.32,55.30595906575524,0.558641837943837,31.28987652770478,Europe
Algeria,6063.033153666359,4.196592893340746,23.982283274332698,2267.4227248019815,9.713024775187165,41.98473358154297,1.0088694927998234,85,57.5423978169759,204.03975001645804,34.0,9.31058654872875,30.431860458735162,4.496992836259474,37.4,32.744577407836935,1.52710809212787,42.2549720764842,Afrique du Nord
Angola,1830.2234752411498,8.523100949243792,9.771175702412918,194.25919429390197,8.062458674112957,70.93879445393883,9.488878698969717,53,69.175532023112,46.55559739958371,154.0,4.4049,46.585437548118335,2.4566741344803433,47.36,22.762009302775066,2.8870617081308865,9.242295559967019,Afrique subsah
Argentina,11778.072092105735,7.968890223810777,18.586857795715368,9499.773506677479,10.266925493876164,24.949225107828767,2.2158584411701363,96,35.31603495279946,376.2857340584883,15.0,83.40881408812568,26.7400914239026,10.137438590053867,10.08,54.41703923543293,0.9644026837035845,152.23271004517065,Amérique du sud 
Armenia,3905.012076707677,13.251186454944333,25.390345255533862,3278.161549653963,22.9539661407471,28.81870969136557,5.230173077007653,92,40.2407290140788,70.3115550261001,26.1,76.26983920725205,21.768554364237968,11.817765292006833,35.7,36.80530548095707,-0.36960027164018633,49.68018900888197,Asie
Australia,27877.43304378487,1.8602765834578434,25.45242177785335,32380.33112144773,3.4558990001678467,18.40225553689366,0.7886731176373335,100,27.05425834900285,816.0853267332633,4.8,686.3061919884364,19.956268085964133,12.572190874453733,12.0,69.62490464431265,1.1536456230310401,637.8839930452507,Océanie
Austria,29600.18830592997,1.260681246311806,21.050415674845365,23871.455967036603,1.78685681025187,50.853280385335296,2.3508332395280664,100,30.352258046468098,947.480483180099,4.333333333333333,579.8778784207129,15.744425896936633,16.442487576547865,34.04,67.8608830769857,0.6134551113825807,474.1325836304373,Europe
Azerbaijan,3767.7073796435866,14.857673227630661,47.346163431803404,1131.758081320926,11.859393755594867,49.42877197265623,33.1635323595054,77,56.39700571695963,190.3352174911713,74.0,18.69868829700067,26.826053785099234,6.9240406287656135,48.62,31.743600845336896,0.871649365034466,57.51678684972617,Asie
Bangladesh,1755.8279977764798,3.8523550816915666,23.98521105448407,323.1339596683137,20.97713343302407,15.419994990030935,0.8821593384411708,74,26.6968262990316,31.143883456680964,54.0,12.60506378078886,35.903624744606,3.560698501133897,75.28,52.32603963216147,1.8839292992493402,2.180854501739407,Asie
Belarus,6396.384298565371,9.799308961826464,26.823619842529336,3260.804282932495,10.012900352478018,64.61408360799153,0.901071176633193,100,40.2541707356771,253.45454731332097,10.3,2.76,15.791469904327867,14.547150378391565,28.24,49.7329305013021,-0.5056070231678816,253.498942853294,Europe
Belgium,28245.24578767973,1.1112579212009466,19.17311986287433,39633.92787126984,1.05742307504018,84.00074259440105,10.727270042808593,100,24.51371828715007,869.4828946785304,4.166666666666667,348.98671616708316,16.938378594192802,17.4658797867163,2.82,74.42885843912761,0.46707926433212305,415.53466095852997,Europe
Belize,6302.803111002479,2.379189897131512,18.476371129353833,6638.668037587592,15.751155853271468,53.123358408609995,6.9579272026291035,91,17.60693359375,288.02098896381136,15.2,135.8047,37.30799751860303,4.252884487585374,51.82,66.64190928141274,3.18614572483312,121.22840264888733,Amérique du Nord
Benin,1010.6670294448433,0.372081076732589,18.175274531046565,622.4406222496045,32.12287267049153,13.488224983215332,1.5065284906791376,67,13.491089820861832,55.328806441587595,89.0,3.5739689876465097,44.47049735901246,2.7066844704796567,60.24,54.3860371907552,3.1975314862286233,23.810342636244837,Afrique subsah
